Model,Accuracy,Precision (macro),Recall (macro),F1 (macro)
Random Forest,0.8038461538461539,0.619914557186833,0.6199040483027382,0.6188458822484986
SVM (RBF),0.6853846153846154,0.5333040373766444,0.7092102733053021,0.5602337913658668
Gradient Boosting,0.8138461538461539,0.6612775458650346,0.5186630698133524,0.5550152950624861
Logistic Regression,0.6323076923076923,0.5226443409902229,0.7433370348767648,0.5312996116896299
